Datetime,Open,High,Low,Close
2022-10-13 01:42:00,31.86200,31.86400,31.85700,31.86100
2022-10-13 01:43:00,31.86200,31.86200,31.85700,31.86100
2022-10-13 01:44:00,31.85900,31.86000,31.85600,31.85700
2022-10-13 01:45:00,31.85900,31.85900,31.85700,31.85800
2022-10-13 01:46:00,31.86000,31.86000,31.85600,31.85700
2022-10-13 01:47:00,31.85600,31.85900,31.85600,31.85900
2022-10-13 01:48:00,31.85900,31.85900,31.85700,31.85700
2022-10-13 01:49:00,31.85800,31.85900,31.85800,31.85900
2022-10-13 01:50:00,31.85900,31.85900,31.85700,31.85800
2022-10-13 01:51:00,31.85800,31.85900,31.85800,31.85900
2022-10-13 01:52:00,31.85800,31.85900,31.85800,31.85900
2022-10-13 01:53:00,31.85900,31.85900,31.85800,31.85800
2022-10-13 01:54:00,31.85800,31.85900,31.85700,31.85900
2022-10-13 01:55:00,31.85900,31.85900,31.85700,31.85700
2022-10-13 01:56:00,31.85500,31.85800,31.85500,31.85800
2022-10-13 01:57:00,31.85800,31.85800,31.85600,31.85600
2022-10-13 01:58:00,31.85700,31.86200,31.85600,31.86200
2022-10-13 01:59:00,31.86200,31.86200,31.85600,31.85800
2022-10-13 02:00:00,31.85800,31.86250,31.85800,31.86250
2022-10-13 02:01:00,31.85700,31.86600,31.85700,31.85900
2022-10-13 02:02:00,31.86500,31.86500,31.85900,31.86100
2022-10-13 02:03:00,31.86300,31.86300,31.85900,31.86100
2022-10-13 02:04:00,31.86500,31.86500,31.85800,31.86200
2022-10-13 02:05:00,31.85800,31.86300,31.85800,31.86100
2022-10-13 02:06:00,31.86200,31.86200,31.85700,31.86000
2022-10-13 02:07:00,31.85900,31.86000,31.85700,31.86000
2022-10-13 02:08:00,31.85900,31.86000,31.85700,31.85800
2022-10-13 02:09:00,31.85800,31.85800,31.85700,31.85700
2022-10-13 02:10:00,31.85900,31.85900,31.85700,31.85700
2022-10-13 02:11:00,31.85900,31.85900,31.85800,31.85800
2022-10-13 02:12:00,31.85800,31.85900,31.85700,31.85700
2022-10-13 02:13:00,31.85900,31.85900,31.85700,31.85800
2022-10-13 02:14:00,31.85800,31.85900,31.85800,31.85900
2022-10-13 02:15:00,31.85700,31.85900,31.85700,31.85800
2022-10-13 02:16:00,31.85800,31.85900,31.85800,31.85900
2022-10-13 02:17:00,31.85800,31.85800,31.85700,31.85700
2022-10-13 02:18:00,31.85900,31.85950,31.85800,31.85800
2022-10-13 02:19:00,31.85700,31.85850,31.84800,31.84800
2022-10-13 02:20:00,31.85800,31.85800,31.84900,31.84900
2022-10-13 02:21:00,31.85800,31.85800,31.85000,31.85400
2022-10-13 02:22:00,31.85400,31.85500,31.84800,31.84800
2022-10-13 02:23:00,31.84800,31.85400,31.84800,31.85200
2022-10-13 02:24:00,31.85100,31.85200,31.84800,31.85200
2022-10-13 02:25:00,31.85000,31.85100,31.84800,31.84900
2022-10-13 02:26:00,31.85000,31.85000,31.84900,31.84900
2022-10-13 02:27:00,31.84900,31.85000,31.84900,31.85000
2022-10-13 02:28:00,31.84900,31.85000,31.84800,31.84800
2022-10-13 02:29:00,31.85200,31.85200,31.84800,31.85000
2022-10-13 02:30:00,31.84800,31.85000,31.84800,31.85000
2022-10-13 02:31:00,31.84900,31.84900,31.84700,31.84700
2022-10-13 02:32:00,31.84700,31.84900,31.84700,31.84800
2022-10-13 02:33:00,31.84800,31.85000,31.84700,31.85000
2022-10-13 02:34:00,31.85000,31.85000,31.84700,31.84700
2022-10-13 02:35:00,31.84900,31.84900,31.84700,31.84700
2022-10-13 02:36:00,31.84900,31.84900,31.84600,31.84700
2022-10-13 02:37:00,31.84700,31.84900,31.84600,31.84600
2022-10-13 02:38:00,31.84600,31.84900,31.84600,31.84700
2022-10-13 02:39:00,31.84600,31.84700,31.84600,31.84700
2022-10-13 02:40:00,31.84700,31.84900,31.84600,31.84600
2022-10-13 02:41:00,31.84600,31.85300,31.84600,31.84700
2022-10-13 02:42:00,31.85500,31.85800,31.84600,31.85800
2022-10-13 02:43:00,31.84700,31.84900,31.84700,31.84900
2022-10-13 02:44:00,31.84700,31.85300,31.84700,31.85200
2022-10-13 02:45:00,31.84800,31.85500,31.84600,31.85200
2022-10-13 02:46:00,31.85200,31.85200,31.84600,31.85000
2022-10-13 02:47:00,31.85000,31.85200,31.84700,31.84700
2022-10-13 02:48:00,31.84600,31.85000,31.84500,31.85000
2022-10-13 02:49:00,31.84700,31.85000,31.84600,31.84600
2022-10-13 02:50:00,31.84500,31.84800,31.84400,31.84800
2022-10-13 02:51:00,31.84700,31.84800,31.84500,31.84500
2022-10-13 02:52:00,31.84500,31.85000,31.84400,31.84400
2022-10-13 02:53:00,31.84500,31.85000,31.84500,31.85000
2022-10-13 02:54:00,31.84600,31.84600,31.84500,31.84500
2022-10-13 02:56:00,31.84500,31.84500,31.84500,31.84500
2022-10-13 02:57:00,31.84900,31.84900,31.84500,31.84700
2022-10-13 02:58:00,31.84600,31.84900,31.84500,31.84500
2022-10-13 02:59:00,31.84600,31.84800,31.84500,31.84500
2022-10-13 03:00:00,31.84800,31.84800,31.84500,31.84500
2022-10-13 03:01:00,31.84600,31.84800,31.84500,31.84800
2022-10-13 03:02:00,31.84700,31.84900,31.84400,31.84500
2022-10-13 03:03:00,31.84400,31.85000,31.84400,31.85000
2022-10-13 03:04:00,31.84500,31.84700,31.84400,31.84400
2022-10-13 03:05:00,31.84400,31.84900,31.84400,31.84600
2022-10-13 03:06:00,31.84700,31.85000,31.84400,31.84400
2022-10-13 03:07:00,31.84900,31.84900,31.84400,31.84500
2022-10-13 03:08:00,31.84500,31.84900,31.84300,31.84400
2022-10-13 03:09:00,31.84400,31.84900,31.84400,31.84500
2022-10-13 03:10:00,31.84400,31.84600,31.84400,31.84500
2022-10-13 03:11:00,31.84600,31.84600,31.84400,31.84400
2022-10-13 03:12:00,31.84900,31.84900,31.84400,31.84400
2022-10-13 03:13:00,31.84900,31.84900,31.84300,31.84300
2022-10-13 03:14:00,31.84500,31.85200,31.84400,31.85200
2022-10-13 03:15:00,31.84500,31.85200,31.84400,31.84400
2022-10-13 03:16:00,31.84400,31.84700,31.84300,31.84300
2022-10-13 03:17:00,31.84300,31.84900,31.84200,31.84200
2022-10-13 03:18:00,31.84300,31.84500,31.84300,31.84400
2022-10-13 03:19:00,31.84500,31.85000,31.84300,31.84600
2022-10-13 03:20:00,31.84300,31.84400,31.84200,31.84400
2022-10-13 03:21:00,31.84300,31.84600,31.84300,31.84500
2022-10-13 03:22:00,31.84500,31.84600,31.84200,31.84300
2022-10-13 03:23:00,31.84300,31.84500,31.84300,31.84400
2022-10-13 03:24:00,31.84400,31.84500,31.84300,31.84300
2022-10-13 03:25:00,31.84300,31.85300,31.84300,31.84500
2022-10-13 03:26:00,31.84400,31.85300,31.84300,31.84500
2022-10-13 03:27:00,31.84400,31.85300,31.84300,31.85300
2022-10-13 03:28:00,31.85300,31.85300,31.84400,31.84500
2022-10-13 03:29:00,31.84500,31.85300,31.84400,31.84800
2022-10-13 03:30:00,31.85300,31.85300,31.84500,31.84600
2022-10-13 03:31:00,31.84500,31.85100,31.84500,31.84800
2022-10-13 03:32:00,31.84500,31.84900,31.84500,31.84800
2022-10-13 03:33:00,31.84900,31.84900,31.84600,31.84600
2022-10-13 03:34:00,31.84600,31.84900,31.84600,31.84800
2022-10-13 03:35:00,31.84600,31.84800,31.84600,31.84700
2022-10-13 03:36:00,31.84700,31.84700,31.84600,31.84600
2022-10-13 03:37:00,31.84700,31.84700,31.84600,31.84600
2022-10-13 03:38:00,31.84700,31.84700,31.84700,31.84700
2022-10-13 03:39:00,31.85200,31.85200,31.84800,31.84800
2022-10-13 03:40:00,31.84800,31.84800,31.84800,31.84800
2022-10-13 03:41:00,31.85200,31.85200,31.84800,31.84800
2022-10-13 03:42:00,31.84700,31.84700,31.84700,31.84700
2022-10-13 03:45:00,31.85200,31.85200,31.84700,31.84900
2022-10-13 03:46:00,31.84800,31.84800,31.84800,31.84800
2022-10-13 03:49:00,31.84900,31.84900,31.84800,31.84800
2022-10-13 03:59:00,31.85200,31.85200,31.84800,31.85000
2022-10-13 04:00:00,31.84800,31.85200,31.84800,31.84900
2022-10-13 04:01:00,31.84800,31.85200,31.84800,31.84900
2022-10-13 04:02:00,31.84900,31.84900,31.84800,31.84800
2022-10-13 04:05:00,31.85200,31.85200,31.85000,31.85100
2022-10-13 04:06:00,31.85000,31.85000,31.84800,31.84800
2022-10-13 04:07:00,31.84800,31.84800,31.84800,31.84800
2022-10-13 04:08:00,31.84700,31.84700,31.84700,31.84700
2022-10-13 04:09:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:10:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:11:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:12:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:13:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:14:00,31.84600,31.84600,31.81300,31.83200
2022-10-13 04:15:00,31.83800,31.84600,31.83800,31.84600
2022-10-13 04:16:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:17:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:18:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:19:00,31.84600,31.84600,31.84200,31.84500
2022-10-13 04:20:00,31.84000,31.84600,31.84000,31.84600
2022-10-13 04:21:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:22:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:24:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:25:00,31.84600,31.85000,31.84600,31.84700
2022-10-13 04:26:00,31.84700,31.84700,31.84700,31.84700
2022-10-13 04:27:00,31.84700,31.84800,31.84700,31.84800
2022-10-13 04:28:00,31.84700,31.84700,31.84600,31.84600
2022-10-13 04:29:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:30:00,31.85000,31.85000,31.84600,31.84600
2022-10-13 04:31:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:32:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:33:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:34:00,31.85000,31.85000,31.84600,31.84600
2022-10-13 04:35:00,31.84600,31.85000,31.84600,31.84700
2022-10-13 04:36:00,31.85000,31.85000,31.84600,31.84600
2022-10-13 04:38:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:39:00,31.81200,31.84300,31.81200,31.84300
2022-10-13 04:40:00,31.84500,31.84600,31.84500,31.84600
2022-10-13 04:41:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:42:00,31.84600,31.84700,31.84200,31.84200
2022-10-13 04:43:00,31.84300,31.84600,31.84100,31.84100
2022-10-13 04:44:00,31.84000,31.84000,31.83900,31.83900
2022-10-13 04:45:00,31.83900,31.84600,31.83800,31.83800
2022-10-13 04:46:00,31.83700,31.83700,31.83700,31.83700
2022-10-13 04:47:00,31.83700,31.83700,31.83700,31.83700
2022-10-13 04:48:00,31.83700,31.83700,31.83700,31.83700
2022-10-13 04:49:00,31.84400,31.84600,31.83800,31.83800
2022-10-13 04:50:00,31.83700,31.84400,31.83700,31.83800
2022-10-13 04:51:00,31.83800,31.84400,31.83800,31.83900
2022-10-13 04:52:00,31.84600,31.84600,31.83800,31.83800
2022-10-13 04:53:00,31.83800,31.84200,31.83800,31.84000
2022-10-13 04:54:00,31.83800,31.84400,31.83800,31.84000
2022-10-13 04:55:00,31.84000,31.84200,31.83800,31.83900
2022-10-13 04:56:00,31.84600,31.84600,31.84100,31.84100
2022-10-13 04:57:00,31.84300,31.84300,31.84100,31.84100
2022-10-13 04:58:00,31.84600,31.84600,31.84600,31.84600
2022-10-13 04:59:00,31.84300,31.84600,31.84000,31.84000
2022-10-13 05:00:00,31.83900,31.84600,31.83800,31.83800
2022-10-13 05:01:00,31.84100,31.84700,31.84100,31.84500
2022-10-13 05:02:00,31.84200,31.84800,31.84200,31.84800
2022-10-13 05:03:00,31.84400,31.84400,31.84000,31.84000
2022-10-13 05:04:00,31.84100,31.84300,31.84100,31.84200
2022-10-13 05:05:00,31.84200,31.84200,31.84200,31.84200
2022-10-13 05:06:00,31.84100,31.84100,31.84100,31.84100
2022-10-13 05:07:00,31.84100,31.84100,31.84100,31.84100
2022-10-13 05:08:00,31.84100,31.84600,31.84100,31.84200
2022-10-13 05:09:00,31.84100,31.84600,31.83900,31.84600
2022-10-13 05:10:00,31.84000,31.84000,31.83900,31.83900
2022-10-13 05:11:00,31.83900,31.84100,31.83300,31.83300
2022-10-13 05:12:00,31.83200,31.83200,31.82600,31.82600
2022-10-13 05:13:00,31.82500,31.82800,31.82300,31.82300
2022-10-13 05:14:00,31.82300,31.82300,31.82300,31.82300
2022-10-13 05:15:00,31.82300,31.82650,31.82200,31.82200
2022-10-13 05:16:00,31.82200,31.82400,31.82100,31.82300
2022-10-13 05:17:00,31.82300,31.82300,31.82200,31.82200
2022-10-13 05:18:00,31.82600,31.82600,31.82200,31.82200
2022-10-13 05:19:00,31.82650,31.82650,31.82200,31.82200
2022-10-13 05:20:00,31.82600,31.82600,31.82200,31.82200
2022-10-13 05:21:00,31.82200,31.82700,31.82100,31.82600
2022-10-13 05:22:00,31.82600,31.82800,31.82600,31.82700
2022-10-13 05:23:00,31.82700,31.82800,31.82700,31.82800
2022-10-13 05:24:00,31.82700,31.82700,31.82700,31.82700
2022-10-13 05:25:00,31.82800,31.82800,31.82600,31.82600
2022-10-13 05:26:00,31.82800,31.82800,31.82600,31.82600
2022-10-13 05:27:00,31.82500,31.82650,31.82300,31.82300
2022-10-13 05:28:00,31.82650,31.82650,31.82200,31.82200
2022-10-13 05:29:00,31.82200,31.82650,31.82100,31.82100
2022-10-13 05:30:00,31.82200,31.82450,31.82200,31.82300
2022-10-13 05:31:00,31.82450,31.82450,31.82200,31.82300
2022-10-13 05:32:00,31.82200,31.82500,31.82100,31.82300
2022-10-13 05:33:00,31.82100,31.82950,31.82000,31.82000
2022-10-13 05:34:00,31.82000,31.83100,31.82000,31.82100
2022-10-13 05:35:00,31.82950,31.83000,31.82000,31.82000
2022-10-13 05:36:00,31.82000,31.83100,31.82000,31.82300
2022-10-13 05:37:00,31.82100,31.82450,31.81700,31.81700
2022-10-13 05:38:00,31.81700,31.82750,31.81700,31.82000
2022-10-13 05:39:00,31.81900,31.82450,31.81700,31.81700
2022-10-13 05:40:00,31.82800,31.82800,31.81700,31.81700
2022-10-13 05:41:00,31.81700,31.82350,31.81700,31.81800
2022-10-13 05:42:00,31.81700,31.82650,31.81700,31.81800
2022-10-13 05:43:00,31.81700,31.82400,31.81700,31.81800
2022-10-13 05:44:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:45:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:46:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:47:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:48:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:49:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:50:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:51:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:52:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:53:00,31.81700,31.81700,31.81700,31.81700
2022-10-13 05:54:00,31.81700,31.82100,31.81600,31.82100
2022-10-13 05:55:00,31.82250,31.82250,31.82100,31.82100
2022-10-13 05:56:00,31.82100,31.82100,31.82100,31.82100
2022-10-13 05:57:00,31.82100,31.82100,31.82100,31.82100
2022-10-13 05:58:00,31.82100,31.82100,31.82100,31.82100
2022-10-13 05:59:00,31.82100,31.82100,31.82100,31.82100
2022-10-13 06:00:00,31.82100,31.82250,31.82100,31.82250
2022-10-13 06:01:00,31.82100,31.82100,31.82100,31.82100
2022-10-13 06:02:00,31.82100,31.82100,31.82100,31.82100
2022-10-13 06:03:00,31.82350,31.82350,31.82100,31.82100
2022-10-13 06:04:00,31.83150,31.83150,31.82300,31.82800
2022-10-13 06:05:00,31.83400,31.83400,31.83000,31.83000
2022-10-13 06:06:00,31.83100,31.83100,31.82900,31.82900
2022-10-13 06:07:00,31.83400,31.83400,31.82900,31.83000
2022-10-13 06:08:00,31.83400,31.83400,31.82900,31.82900
2022-10-13 06:09:00,31.83400,31.83400,31.82800,31.82900
2022-10-13 06:10:00,31.82900,31.83600,31.82900,31.83200
2022-10-13 06:11:00,31.83100,31.83600,31.83100,31.83600
2022-10-13 06:12:00,31.83400,31.83600,31.83100,31.83200
2022-10-13 06:13:00,31.83200,31.83600,31.83200,31.83400
2022-10-13 06:14:00,31.83200,31.83300,31.83200,31.83300
2022-10-13 06:15:00,31.83200,31.83450,31.83100,31.83100
2022-10-13 06:16:00,31.83100,31.83350,31.83100,31.83300
2022-10-13 06:17:00,31.83100,31.83550,31.83100,31.83200
2022-10-13 06:18:00,31.83200,31.83350,31.83100,31.83100
2022-10-13 06:19:00,31.83550,31.83550,31.83100,31.83100
2022-10-13 06:20:00,31.83100,31.83550,31.83100,31.83200
2022-10-13 06:21:00,31.83100,31.83550,31.83100,31.83200
2022-10-13 06:22:00,31.83100,31.83550,31.83100,31.83550
2022-10-13 06:23:00,31.83400,31.83550,31.83100,31.83100
2022-10-13 06:24:00,31.83100,31.83550,31.83100,31.83200
2022-10-13 06:25:00,31.83100,31.83550,31.83100,31.83200
2022-10-13 06:26:00,31.83200,31.83550,31.83100,31.83550
2022-10-13 06:27:00,31.83100,31.83550,31.83100,31.83200
2022-10-13 06:28:00,31.83350,31.83350,31.83100,31.83100
2022-10-13 06:29:00,31.83100,31.83550,31.83100,31.83200
2022-10-13 06:30:00,31.83100,31.83350,31.83100,31.83200
2022-10-13 06:31:00,31.83350,31.83550,31.83200,31.83200
2022-10-13 06:32:00,31.83350,31.83700,31.83200,31.83600
2022-10-13 06:33:00,31.84000,31.84100,31.83700,31.83700
2022-10-13 06:34:00,31.83700,31.84100,31.83700,31.83800
2022-10-13 06:35:00,31.83700,31.84100,31.83700,31.83800
2022-10-13 06:36:00,31.84100,31.84100,31.83700,31.83700
2022-10-13 06:37:00,31.83700,31.84100,31.83600,31.83800
2022-10-13 06:38:00,31.83700,31.83900,31.83700,31.83800
2022-10-13 06:39:00,31.83800,31.83800,31.83700,31.83700
2022-10-13 06:40:00,31.83700,31.83700,31.83700,31.83700
2022-10-13 06:41:00,31.84100,31.84100,31.83700,31.83700
2022-10-13 06:42:00,31.83700,31.84000,31.83700,31.83800
2022-10-13 06:43:00,31.83800,31.84000,31.83200,31.83600
2022-10-13 06:44:00,31.83300,31.83300,31.83200,31.83200
2022-10-13 06:45:00,31.83300,31.83300,31.83200,31.83200
2022-10-13 06:46:00,31.83200,31.83300,31.83200,31.83300
2022-10-13 06:47:00,31.83300,31.83300,31.83300,31.83300
2022-10-13 06:48:00,31.83600,31.83600,31.83200,31.83200
2022-10-13 06:49:00,31.83300,31.83300,31.83200,31.83200
2022-10-13 06:50:00,31.83200,31.83600,31.83200,31.83300
2022-10-13 06:51:00,31.83200,31.83300,31.83200,31.83300
2022-10-13 06:52:00,31.83600,31.83600,31.83200,31.83200
2022-10-13 06:53:00,31.83600,31.83600,31.83200,31.83200
2022-10-13 06:54:00,31.83300,31.83300,31.83200,31.83200
2022-10-13 06:55:00,31.83200,31.83200,31.83200,31.83200
2022-10-13 06:56:00,31.83600,31.83600,31.83200,31.83200
2022-10-13 06:57:00,31.83300,31.83600,31.83200,31.83200
2022-10-13 06:58:00,31.83300,31.83300,31.83200,31.83200
2022-10-13 06:59:00,31.83300,31.83600,31.83200,31.83200
2022-10-13 07:00:00,31.83200,31.83700,31.83200,31.83400
2022-10-13 07:01:00,31.83300,31.83400,31.83300,31.83400
2022-10-13 07:02:00,31.83400,31.83700,31.83300,31.83300
2022-10-13 07:04:00,31.83300,31.83700,31.83200,31.83400
2022-10-13 07:05:00,31.83300,31.83700,31.83300,31.83400
2022-10-13 07:06:00,31.83300,31.83400,31.83300,31.83400
2022-10-13 07:07:00,31.83400,31.83400,31.83300,31.83300
2022-10-13 07:08:00,31.83400,31.83400,31.83300,31.83300
2022-10-13 07:09:00,31.83400,31.83700,31.83300,31.83300
2022-10-13 07:10:00,31.83400,31.83400,31.83300,31.83300
2022-10-13 07:11:00,31.83700,31.83700,31.83300,31.83300
2022-10-13 07:12:00,31.83300,31.83700,31.83300,31.83400
2022-10-13 07:13:00,31.83300,31.83700,31.83300,31.83700
2022-10-13 07:14:00,31.83700,31.83700,31.83300,31.83300
2022-10-13 07:15:00,31.83400,31.83400,31.83200,31.83300
2022-10-13 07:16:00,31.83300,31.83400,31.83300,31.83400
2022-10-13 07:17:00,31.83700,31.83700,31.83300,31.83300
2022-10-13 07:18:00,31.83300,31.83700,31.83300,31.83400
2022-10-13 07:19:00,31.83400,31.83700,31.83200,31.83200
2022-10-13 07:20:00,31.83400,31.83700,31.83100,31.83200
2022-10-13 07:21:00,31.83400,31.83400,31.83200,31.83200
